P01-20240204-121042-1 | open the fridge
P01-20240204-121042-435 | put down the sponge
P01-20240204-121042-436 | open the tap
P01-20240204-121042-437 | rinse the pot
P01-20240204-121042-438 | close the tap
P01-20240204-121042-439 | put the put on the drainer
P01-20240204-121042-440 | remove the left glove
P01-20240204-121042-441 | remove the right glove
P01-20240204-121042-442 | put both gloves on the rim of the sink this action is mostly off-screen
P01-20240204-121042-443 | pick up the spatula from the bowl on the countertop
P01-20240204-121042-444 | stir the dates in the pot to continue softening them melting them by again turning them and then tapping them with the spatula holding the pot's handle with the left hand
P01-20240204-121042-445 | hit the spatula against the rim of the pot to drop excess dates
P01-20240204-121042-446 | slide the spatula against the rim of the pan as the dates are now soft so they don't drop so actually sliding them back into the pot
P01-20240204-121042-447 | put the spatula on the bowl on the countertop
P01-20240204-121042-448 | wear the right glove by holding it with the left hand and sliding the right hand in
P01-20240204-121042-449 | wear the left glove by holding it with the right hand and sliding the left hand in
P01-20240204-121042-450 | pick up the plate from the sink
P01-20240204-121042-451 | pick up a sponge from the plate next to the sink
P01-20240204-121042-452 | lather the plate
P01-20240204-121042-453 | put the sponge down
P01-20240204-121042-454 | open the tap
P01-20240204-121042-455 | rinse the plate
P01-20240204-121042-456 | close the tap
P01-20240204-121042-457 | close the first drawer of the dishwasher which contains the cutlery tray
P01-20240204-121042-458 | open the dishwasher's door further by pushing down so it opens fully
P01-20240204-121042-459 | open the lower drawer of the dishwasher by pulling it out
P01-20240204-121042-460 | move one pot in the lower drawer of the dishwasher from one place to another
P01-20240204-121042-461 | pick up one tray that's taking lots of space to put it in another place
P01-20240204-121042-462 | put the plate in the lower drawer of the dishwasher sliding it vertically in a slot
P01-20240204-121042-463 | pick up the sponge
P01-20240204-121042-464 | lather the tray realizing it's not fully clean
P01-20240204-121042-465 | put the tray inside the sink supporting it with the sink holding it with the left hand and continue lathering it
P01-20240204-121042-466 | put down the sponge
P01-20240204-121042-467 | open the tap
P01-20240204-121042-468 | rinse the tray
P01-20240204-121042-469 | close the tap
P01-20240204-121042-470 | put the tray on the drainer
P01-20240204-121042-471 | pick up the sponge
P01-20240204-121042-472 | pick up a plate next to the sink where the sponge was positioned
P01-20240204-121042-473 | put the sponge on another plate
P01-20240204-121042-474 | open the tap
P01-20240204-121042-475 | rinse the plate particularly a bit where there is some yogurt still on it using the right hand to scrub the yogurt off the plate
P01-20240204-121042-476 | close the tap
P01-20240204-121042-477 | pick up the sponge
P01-20240204-121042-478 | lather this plate
P01-20240204-121042-479 | turn the sponge upside down it needs more soap
P01-20240204-121042-480 | pick up the washing up liquid bottle
P01-20240204-121042-481 | turn the washing up liquid bottle upside down positioning it on top of the sponge that is on top of the tray to pour soap on the sponge
P01-20240204-121042-482 | pour washing up liquid from the bottle onto the sponge
P01-20240204-121042-483 | put down the washing up liquid bottle
P01-20240204-121042-484 | pick up the sponge and turn it the other way
P01-20240204-121042-485 | lather the plate
P01-20240204-121042-486 | put down the sponge
P01-20240204-121042-487 | open the tap
P01-20240204-121042-488 | rinse the plate
P01-20240204-121042-489 | close the tap
P01-20240204-121042-490 | put the plate on the lower drawer of the dishwasher slotting it vertically
P01-20240204-121042-491 | pick up the sponge
P01-20240204-121042-492 | pick up a chopping board
P01-20240204-121042-493 | lather the chopping board
P01-20240204-121042-494 | put down the sponge
P01-20240204-121042-495 | open the tap
P01-20240204-121042-496 | rinse the chopping board
P01-20240204-121042-497 | put the chopping board on the lower drawer of the dishwasher
P01-20240204-121042-498 | pick up the sponge
P01-20240204-121042-499 | pick up a knife from the plate next to the countertop
P01-20240204-121042-501 | pick up another knife from the plate next to the sink
P01-20240204-121042-500 | lather the blade of the knife
P01-20240204-121042-502 | lather and scrub the blade of the knife a few times
P01-20240204-121042-503 | put down the sponge
P01-20240204-121042-504 | open the tap
P01-20240204-121042-505 | rinse the two knives being held in the left hand
P01-20240204-121042-506 | close the tap
P01-20240204-121042-507 | open the top drawer of the dishwasher with a cutlery tray
P01-20240204-121042-508 | put one knife on the side of the tray
P01-20240204-121042-509 | put another knife in the pile of knives slotting it in place
P01-20240204-121042-510 | close the drawer this action is mostly off screen
P01-20240204-121042-511 | pick up the sponge
P01-20240204-121042-512 | pick up a plate from the countertop next to the sink
P01-20240204-121042-513 | lather the plate
P01-20240204-121042-514 | put down the sponge on the counter top
P01-20240204-121042-515 | open the tap
P01-20240204-121042-516 | rinse the plate
P01-20240204-121042-517 | close the tap
P01-20240204-121042-518 | put the plate on the lower drawer of the dishwasher slotting it vertically
P01-20240204-121042-519 | pick up a mug from the countertop next to the sink
P01-20240204-121042-520 | open the tap
P01-20240204-121042-521 | rinse the mug putting some water into it and then tilting it upside down to drop the water
P01-20240204-121042-522 | pick up the sponge
P01-20240204-121042-523 | lather the mug
P01-20240204-121042-524 | put down the sponge
P01-20240204-121042-525 | open the tap
P01-20240204-121042-526 | rinse the mug
P01-20240204-121042-527 | close the tap
P01-20240204-121042-528 | try to put the mug on the drainer there is limited space so lift the strainer and then slot it under it in the corner of the drainer
P01-20240204-121042-529 | take the left glove off
P01-20240204-121042-530 | take the right glove off
P01-20240204-121042-531 | pick up the spatula that's resting on the bowl next to the hob
P01-20240204-121042-532 | stir the content of the pot containing the dates as they soften so turn them upside down and then tap using the spatula to press them holding the pot with the left hand to steady it
P01-20240204-121042-533 | slide the spatula against the rim of the pot to drop all the soft dates that are stuck to it on both sides
P01-20240204-121042-534 | pick up a bit of date that had fallen on the hob using the spatula and pushing it with the index of the left hand
P01-20240204-121042-535 | hit the spatula against the rim of the pot to drop dates from it into the pot
P01-20240204-121042-536 | rest the spatula on the bowl on the countertop next to the hob
P01-20240204-121042-537 | move a jar on the second shelf to look what's behind it
P01-20240204-121042-538 | move a box in the second shelf to look what's behind it
P01-20240204-121042-539 | return the jar to its place on the second shelf by moving it across the shelf
P01-20240204-121042-540 | pick up the salt bottle from the lower shelf to look what's behind it
P01-20240204-121042-541 | insert the hand into the shelf to check the jars at the end
P01-20240204-121042-542 | return the salt bottle to the lower shelf of the cupboard
P01-20240204-121042-543 | close the cupboard
P01-20240204-121042-544 | pick up an empty bowl from the countertop using the left hand
P01-20240204-121042-545 | pick up an empty plate from the countertop using the right hand this action is mostly off screen
P01-20240204-121042-546 | put the plate inside the sink using the right hand
P01-20240204-121042-547 | put the bowl inside the sink using the left hand this action is mostly off screen
P01-20240204-121042-548 | pick up another empty bowl from the countertop next to the sink using the right hand
P01-20240204-121042-549 | put the bowl inside the sink next to the plate
P01-20240204-121042-550 | move the glass across the countertop making it closer to the sink
P01-20240204-121042-551 | pick up the empty food processor bowl from the countertop
P01-20240204-121042-552 | you can hear the sound of the bowl being put down but this action is offscreen
P01-20240204-121042-553 | pick up the bowl containing crumbled biscuits from the scale
P01-20240204-121042-554 | put the bowl on the countertop
P01-20240204-121042-555 | pick up the lid of the food processor bowl from the countertop
P01-20240204-121042-556 | put the lid on top of the food processor's bowl on the countertop next to the sink
P01-20240204-121042-557 | pick up the blade from the countertop
P01-20240204-121042-558 | put the blade inside the sink
P01-20240204-121042-559 | press the button on the panel of the oven to switch off the timer that had been set off
P01-20240204-121042-560 | pick up the notepad with the pen from the countertop
P01-20240204-121042-561 | put the notepad with the pen on the upper shelf
P01-20240204-121042-562 | pick up the tin of cocoa powder from the upper shelf
P01-20240204-121042-563 | open the lower cupboard
P01-20240204-121042-564 | put the tin of cocoa powder on the upper shelf of the cupboard
P01-20240204-121042-565 | close the cupboard this action is off screen
P01-20240204-121042-566 | pick up an empty glass from the upper shelf and look inside to check its empty whether it's clean or dirty
P01-20240204-121042-567 | put the glass on the counter top next to the sink
P01-20240204-121042-568 | pick up a plastic piece from the countertop
P01-20240204-121042-569 | pick up the two plastic pieces that are the covers of the blade from the countertop
P01-20240204-121042-570 | pick up a fourth plastic piece from the countertop
P01-20240204-121042-571 | put all four plastic pieces on the countertop on top of the cupboard where they will be stored later
P01-20240204-121042-572 | pick up the scissors from the countertop
P01-20240204-121042-573 | pick up the plastic cover of the scissors from the counter top
P01-20240204-121042-574 | insert the scissor into its cover by holding the cover with the left hand holding the scissors from their handles with the right hand and inserting the end of the scissor into the plastic cover until the end locking it with the cover for safety
P01-20240204-121042-575 | open the top drawer
P01-20240204-121042-576 | put the scissors inside the cutlery tray of the drawer
P01-20240204-121042-577 | pick up the towel from the countertop by lifting it up using the left hand
P01-20240204-121042-578 | open the cupboard door at the end of the kitchen
P01-20240204-121042-579 | open the second cupboard revealing a washing machine
P01-20240204-121042-580 | open the door of the washing machine which was partly opened by pulling it out
P01-20240204-121042-581 | throw the towel into the drum of the washing machine using the right hand
P01-20240204-121042-582 | close the cupboard's door thus closing the door of the washing machine partly
P01-20240204-121042-583 | close the other door of the cupboard
P01-20240204-121042-584 | pick up the mesh containing oranges from the countertop
P01-20240204-121042-585 | put the mesh on the upper shelf
P01-20240204-121042-586 | pick up another mesh containing two oranges from the countertop
P01-20240204-121042-587 | put the mesh of oranges on the upper shelf next to the other mesh of oranges
P01-20240204-121042-588 | pick up a knife from the countertop using the right hand
P01-20240204-121042-589 | pick up a knife from the countertop using the left hand
P01-20240204-121042-590 | open the upper drawer of the dishwasher which contains the cutlery tray
P01-20240204-121042-591 | put the knife on the cutlery tray slotting it in one of the slots
P01-20240204-121042-592 | put the other knife on the cutlery tray putting it in one of the slots
P01-20240204-121042-593 | pick up a piece of plastic from the countertop
P01-20240204-121042-594 | pick up the can opener from the countertop this action is mostly off screen
P01-20240204-121042-595 | open the lower second drawer
P01-20240204-121042-596 | put the can opener in the second drawer on top of a chopping board
P01-20240204-121042-597 | close the drawer this action is mostly off screen
P01-20240204-121042-598 | open the food waste bin this action is mostly off screen
P01-20240204-121042-599 | close the food waste bin this action is also off screen effectively the plastic piece in the hand is being thrown but the eye is not looking at the waste bin at any time
P01-20240204-121042-600 | pick up the roll of kitchen towel from the countertop
P01-20240204-121042-601 | put the roll of kitchen towel on top of the microwave this action is mostly off screen
P01-20240204-121042-602 | pick up this spatula from the wall on the countertop next to the hob
P01-20240204-121042-603 | stir the dates which by now soften inside the pot by turning them and then pressing them using the spatula while holding the pot's handle with the left hand
P01-20240204-121042-604 | rest the spatula on the edge of the pot keeping it inside the pot
P01-20240204-121042-605 | pick up the empty bowl from the countertop using the right hand
P01-20240204-121042-606 | put the empty bowl inside the sink piling it on top of another bowl
P01-20240204-121042-607 | close the upper drawer of the dishwasher which is the cutlery tray by pushing it in using the left hand
P01-20240204-121042-608 | close the lower drawer of the dishwasher using the right hand pushing it in
P01-20240204-121042-609 | close the dishwasher by pulling the door up using the left hand this action is off screen
P01-20240204-121042-610 | open the lower cupboard
P01-20240204-121042-611 | pick up a cover a lid of the tupperware from the upper shelf of the cupboard
P01-20240204-121042-612 | pick up the empty tupperware from the top of the toaster using the left hand this action is mostly off screen
P01-20240204-121042-613 | put the empty tupperware on the countertop this will be used to put the date balls once ready inside
P01-20240204-121042-614 | put the lid on the counter top next to the tupperware
P01-20240204-121042-615 | pick up the spatula that has been resting inside the pot
P01-20240204-121042-616 | stir the dates again you can see that they're now fairly sticking to each other by turning them inside the pot holding the pot with the left-hand handle to steady it
P01-20240204-121042-617 | stir the dates turning them around the pot,and pressing them in place
P01-20240204-121042-618 | rest this spatula on in the pot on the edge of the pot
P01-20240204-121042-619 | turn off the burner by rotating the dial clockwise to switch it off
P01-20240204-121042-620 | pick up the plastic bowl containing crumbled biscuits from the countertop using both hands
P01-20240204-121042-621 | put down the plastic bowl on the countertop
P01-20240204-121042-622 | shake the bowl to steady the biscuits inside it
P01-20240204-121042-623 | using the right hand create a well inside the biscuits by moving them to the edges leaving a hole in the center to put the dates inside
P01-20240204-121042-624 | hold the handle of the pot using the left hand
P01-20240204-121042-625 | pick up the spatula from the pot using the right hand
P01-20240204-121042-626 | slide the spatula on the rim of the pot to drop the dates that are stuck to the spatula back into the pot
P01-20240204-121042-627 | pick up the pot from the hob
P01-20240204-121042-628 | tilt the pot on top of the plastic bowl containing crumbled biscuits holding the pot with the left hand the spatula with the right hand
P01-20240204-121042-629 | pour the lump of softened sticky dates from the pot into the bowl
P01-20240204-121042-630 | rest the spatula on the rim of the plastic bowl
P01-20240204-121042-631 | put the pot in the sink discarding it as now empty
P01-20240204-121042-632 | hold the spatula that has been resting inside the bowl
P01-20240204-121042-633 | hit the spatula against the rim of the bowl, holding the bowl with the left hand to steady it
P01-20240204-121042-634 | start mixing the dates with the biscuits pushing the biscuits up and breaking the lump of dates using the spatula to try to mix these together notice that the dates are fairly hot,repeating the action many times bringing the biscuits up and breaking the dates into pieces trying to mix them together and repeating for a number of times
P01-20240204-121042-635 | change the hold on the spatula as the dates get hardened it is harder to mix them so hold the spatula with a different grip to start beating into the hardening dates to mix them with the biscuits
P01-20240204-121042-636 | turn the dates and press with the spatula to break the dates into smaller pieces
P01-20240204-121042-637 | hold the spatula with the left hand
P01-20240204-121042-638 | tap the surface of the mixture using the index of the right hand to measure its temperature
P01-20240204-121042-639 | rest the spatula on the rim of the plastic bowl
P01-20240204-121042-640 | pick up the water filter jug from the countertop using the right hand
P01-20240204-121042-641 | pour water into the glass that is sitting on the countertop by tilting the jug on top of the water. Water pours into the glass. The glass is resting on the surface top on the countertop and the jug is being held with the right hand from its handle
P01-20240204-121042-642 | put down the water filter jug on the countertop
P01-20240204-121042-643 | pick up the glass filled with water with your left hand
P01-20240204-121042-644 | drink water from the glass
P01-20240204-121042-645 | put down the glass on the countertop
P01-20240204-121042-646 | pick up one medicine that's sitting on the edge of the bread basket
P01-20240204-121042-647 | throw the medicine box inside the bread box to be able to close it
P01-20240204-121042-648 | close the bread box by pushing its cover down
P01-20240204-121042-649 | pick up a bag of bagels from the countertop with the left hand
P01-20240204-121042-650 | open the bread box again by pushing its cover up
P01-20240204-121042-651 | put the bag of bagels inside the bread box
P01-20240204-121042-652 | close the bread box again by pulling down its cover
P01-20240204-121042-653 | pick up the spatula that has been resting inside the white bowl
P01-20240204-121042-654 | continue breaking the mixture in two parts by pushing the spatula vertically inside it holding the bowl with the left hand to steady it
P01-20240204-121042-655 | slide any of the mixture that had stuck on the spatula into the bowl by holding the spatula with the left hand and using the right hand index to slide over the spatula's surface to drop the mixture back into the bowl
P01-20240204-121042-656 | put the spatula down on the chopping board
P01-20240204-121042-657 | using the right hand continue mixing the mixture by putting the hand under the mixture turning it over and then pressing it in continue repeating multiple times
P01-20240204-121042-658 | rotate the bowl with the left hand to access different parts of the mixture
P01-20240204-121042-659 | pick up the spatula from the chopping board as the mixture is still fairly hot
P01-20240204-121042-660 | continue breaking the mixture into pieces using the spatula being pushed inside the mixture at various places inside the bowl while holding the bowl with the left hand to steady it,and rotating the bowl a few times in the process to access various sides
P01-20240204-121042-661 | rest the spatula inside the bowl
P01-20240204-121042-662 | clap both hands on top of the sink to drop any mixture that stuck into them
P01-20240204-121042-663 | wipe the hands using the towel by holding the edge of the towel and wiping both hands towel is on the handrail of the oven
