P01-20240203-184214-1 | Pick up a lid from the top right burner of the hob.
P01-20240203-184214-328 | pick up a bowl from the second drawer of the dishwasher.
P01-20240203-184214-329 | put the bowl on the second shelf, piling it on top of one bowl that's on the right side of the shelf.
P01-20240203-184214-330 | put the Tupperware or container on the countertop using the left hand.
P01-20240203-184214-331 | Pick up a mug from the second drawer of the dishwasher, and pick up a glass from the same drawer using the left hand. So the right hand is picking up a mug and the left hand is picking up a glass.
P01-20240203-184214-332 | put the mug upside down on the lower shelf of the cupboard.
P01-20240203-184214-333 | Put the glass on the second shelf of the cupboard, passing the glass from the left hand to the right hand and then putting it on the shelf using the right hand.
P01-20240203-184214-334 | pick up a mug from the second drawer of the dishwasher.
P01-20240203-184214-335 | pick up a glass from the second drawer of the dishwasher.
P01-20240203-184214-336 | Put the glass on the second shelf of the cupboard.
P01-20240203-184214-337 | put the mug upside down on the lower shelf of the cupboard passing it from left hand to right hand.
P01-20240203-184214-338 | Pick up a mug from the second drawer of the dishwasher.
P01-20240203-184214-339 | pick up another cup from the second drawer of the dishwasher.
P01-20240203-184214-340 | Place the cup on the lower shelf of the cupboard.
P01-20240203-184214-341 | Place the mug on the lower shelf of the cupboard.
P01-20240203-184214-342 | pick up two mugs together from the second drawer of the dishwasher, holding both of them from their handles using the right hand and picking them jointly with one hand.
P01-20240203-184214-343 | Hold one of the mugs with the left hand.
P01-20240203-184214-344 | place both mugs together at the same time on the lower shelf of the cupboard.
P01-20240203-184214-345 | pick up a glass from the middle drawer of the dishwasher.
P01-20240203-184214-346 | Put the glass on the second shelf of the cupboard.
P01-20240203-184214-347 | pick up a glass from the middle drawer of the dishwasher.
P01-20240203-184214-348 | Put the glass on the second shelf of the cupboard.
P01-20240203-184214-349 | Pick up a pot from the second drawer of the dishwasher.
P01-20240203-184214-350 | Carefully move the pot to the sink.
P01-20240203-184214-351 | Tilt the pot on top of the sink, emptying it of water.
P01-20240203-184214-352 | Place this pot on the drainer while the pot has been cleaned. It's not dry. So can't be put away now
P01-20240203-184214-353 | Close the second drawer of the dishwasher.
P01-20240203-184214-354 | Open the top drawer of the dishwasher using the right hand by pulling it out.
P01-20240203-184214-355 | pick up two spoons from the cutlery tray of the dishwasher using the right hand.
P01-20240203-184214-356 | Pick up a third spoon from the cutlery tray of the dishwasher.
P01-20240203-184214-357 | Open the first drawer.
P01-20240203-184214-358 | Put the three spoons in the cutlery tray of the drawer.
P01-20240203-184214-359 | Pick up a wooden spoon from the cutlery tray of the dishwasher.
P01-20240203-184214-360 | pick up a second wooden spoon from the cutlery tray of the dishwasher.
P01-20240203-184214-361 | Pick up the third wooden spoon from the cutlery tray of the dishwasher.
P01-20240203-184214-362 | pick up a spatula from the dishwasher using the left hand.
P01-20240203-184214-363 | Put the spatula in the cutlery tray of the drawer.
P01-20240203-184214-364 | Put the three wooden spoons on the cutlery tray in the drawer.
P01-20240203-184214-365 | pick up chopsticks from the cutlery tray of the dishwasher.
P01-20240203-184214-366 | put the chopsticks in the cutlery tray of the drawer.
P01-20240203-184214-367 | pick up a spoon from the cutlery tray of the dishwasher.
P01-20240203-184214-368 | Put the spoon in the cutlery tray of the drawer.
P01-20240203-184214-369 | pick up a bunch of knives from the cutlery tray of the dishwasher.
P01-20240203-184214-370 | Put the knives in the cutlery tray of the drawer.
P01-20240203-184214-371 | pick up a bunch of spoons from the cutlery tray of the dishwasher.
P01-20240203-184214-372 | Put the spoons in the cutlery tray of the drawer.
P01-20240203-184214-373 | Pick up forks from the cutlery tray of the dishwasher.
P01-20240203-184214-374 | put forks in the cutlery tray of the drawer.
P01-20240203-184214-375 | Close the drawer.
P01-20240203-184214-376 | Close the first drawer of the dishwasher by pushing it and using the right hand.
P01-20240203-184214-377 | Close the dishwasher by bending and pulling the door of the dishwasher using the hand under the door up and then pushing it to close the door of the dishwasher.
P01-20240203-184214-378 | Close the upper cupboard.
P01-20240203-184214-379 | pick up the plastic spoon from the plate on the countertop.
P01-20240203-184214-381 | put the lid on the hob of another burner.
P01-20240203-184214-380 | Remove the lid from the pot on the hob.
P01-20240203-184214-382 | stir the rice in the pot, holding the handle of the pot with the left hand, stirring using the plastic spoon, moving the rice around the pot.
P01-20240203-184214-383 | Hit the spoon against the rim of the pot to drop any rice that stuck to it.
P01-20240203-184214-384 | using the index of the left hand touch the surface of the rice to measure how hot it's become.
P01-20240203-184214-385 | Put down the plastic spoon on the plate on the countertop.
P01-20240203-184214-386 | Pick up the lid from the hob.
P01-20240203-184214-387 | Cover the pot by putting the lid on the hob and leaving the rice to heat further.
P01-20240203-184214-388 | Open the door of the dishwasher. This action is mostly off-screen.
P01-20240203-184214-389 | Wear the right glove by holding the glove with the left hand and sliding the right hand in.
P01-20240203-184214-390 | Hold the left glove using the left hand.
P01-20240203-184214-391 | pull the sleeve of the left hand up.
P01-20240203-184214-392 | Wear the left glove by holding the glove with the right hand and sliding the left hand in.
P01-20240203-184214-393 | pick up a sponge from the countertop using the right hand.
P01-20240203-184214-394 | pick up a spoon which is on top of a tray in the sink using the left hand.
P01-20240203-184214-395 | lather the spoon using the sponge.
P01-20240203-184214-396 | Open the tap from the left handle to get hot water.
P01-20240203-184214-397 | Rinse and squeeze the sponge multiple times to clean it.
P01-20240203-184214-398 | Close the tap.
P01-20240203-184214-399 | Squeeze the sponge.
P01-20240203-184214-400 | Pick up the washing up liquid's bottle from the countertop.
P01-20240203-184214-401 | position the bottle on top of the sponge, turning it upside down.
P01-20240203-184214-402 | Pour washing up liquid from the bottle onto the sponge, holding the bottle with the right hand and the sponge with the left hand.
P01-20240203-184214-403 | Put down the washing up liquid's bottle.
P01-20240203-184214-404 | lather the spoon holding the sponge with the right hand and the spoon with the left hand.
P01-20240203-184214-405 | Put down the sponge.
P01-20240203-184214-406 | Open the tap.
P01-20240203-184214-407 | rinse the spoon
P01-20240203-184214-408 | Close the tap.
P01-20240203-184214-409 | Open the top drawer of the dishwasher by pulling it out.
P01-20240203-184214-410 | Put the spoon on the cutlery tray of the dishwasher by slotting it in place.
P01-20240203-184214-411 | Hold and tilt the tray that is in the sink to empty the water that is sitting inside it.
P01-20240203-184214-412 | pick up this pot.
P01-20240203-184214-413 | lather the surface of the tray, holding the tray with the left hand and moving the sponge around the surface of the tray in circular motion.
P01-20240203-184214-414 | scrub a part of the tray using the sponge by repeatedly moving the sponge back and forth on top of the same part of the tray to scrub it.
P01-20240203-184214-415 | Continue lathering the tray by moving the sponge around the edges of the tray.
P01-20240203-184214-416 | Put down the sponge.
P01-20240203-184214-417 | Open the tap.
P01-20240203-184214-418 | Rinse this tray by holding the tray with the left hand and distributing the water around the tray using the right hand.
P01-20240203-184214-419 | Scrub a part of the tray around the edge using the hand holding the glove.
P01-20240203-184214-420 | Close the tap.
P01-20240203-184214-421 | Tilt the tray to drop any excess water on it.
P01-20240203-184214-422 | Close the top drawer of the dishwasher.
P01-20240203-184214-423 | Try to open the bottom drawer of the dishwasher, but the door isn't fully open.
P01-20240203-184214-424 | Push the door of the dishwasher down to flatten it parallel to the floor.
P01-20240203-184214-425 | Open the lower drawer of the dishwasher.
P01-20240203-184214-426 | Place the tray on the lower drawer of the dishwasher upside down using both hands.
P01-20240203-184214-427 | pick up the second tray from the sink using the right hand
P01-20240203-184214-428 | Open the tap from the left side to get hot water.
P01-20240203-184214-429 | rinse the tray using the right hand to distribute water around the tray and holding the tray with the left hand.
P01-20240203-184214-431 | Tilt the tray inside the sink to drop any water inside it.
P01-20240203-184214-430 | Close the tap.
P01-20240203-184214-432 | Put the tray on the lower drawer of the dishwasher. Upside down.
P01-20240203-184214-433 | Pick up a spoon from inside the pot that's soaking inside the sink using the right hand.
P01-20240203-184214-434 | throw the spoon inside the sink.
P01-20240203-184214-435 | Tilt the pot to empty the water soaking inside it, holding it with the left hand from its handle.
P01-20240203-184214-436 | Open the tap from the left handle to get hot water.
P01-20240203-184214-437 | Rinse the pot by moving the right hand around the edge where some of the food is stuck.
P01-20240203-184214-438 | Close the tap.
P01-20240203-184214-439 | Tilt the pot to empty any rinsing water.
P01-20240203-184214-440 | Put the pot on the lower drawer of the dishwasher upside down.
P01-20240203-184214-441 | Close the lower drawer of the dishwasher.
P01-20240203-184214-442 | Close the dishwasher by pulling the door up using the left hand.
P01-20240203-184214-443 | Pick up a spoon that is soaking inside the food processor's bowl that is inside the sink.
P01-20240203-184214-444 | put the spoon in the sink.
P01-20240203-184214-445 | Tilt the food processor's bowl to empty any water inside it.
P01-20240203-184214-446 | pick up the sponge.
P01-20240203-184214-447 | Start lathering the inside of the food processor wall only to realize there isn't much soap on the sponge.
P01-20240203-184214-448 | Hold the sponge with the left hand.
P01-20240203-184214-449 | Pick up the washing up liquid bottle from the countertop using the right hand.
P01-20240203-184214-451 | Pour washing up liquid from the bottle onto the sponge.
P01-20240203-184214-450 | tilt the bottle upside down and position it on top of the sponge.
P01-20240203-184214-452 | put the washing up liquid bottle on the countertop.
P01-20240203-184214-453 | lather the inside of the food processor bowl by holding the bowl from its handle using the left hand, holding the sponge with the right hand and moving the sponge around the inside edge of the food processor bowl to clean it.
P01-20240203-184214-454 | Put the sponge around the rim of the food processor bowl and move it all the way around to clean the rim.
P01-20240203-184214-455 | lather the outside of the food processor bowl.
P01-20240203-184214-456 | lather the handle of the food processor board.
P01-20240203-184214-457 | Try to put down the sponge on the countertop but the sponge actually falls in the sink.
P01-20240203-184214-458 | Open the tap from the left handle, getting hot water.
P01-20240203-184214-461 | put the sponge on the countertop.
P01-20240203-184214-459 | Start rinsing the food processor bowl.
P01-20240203-184214-462 | Rinse the inside of the food processor bowl.
P01-20240203-184214-460 | pick up the sponge from the sink using the right hand.
P01-20240203-184214-463 | Turn the food processor bowl upside down, rinsing it from the outside under the nozzle of the tap.
P01-20240203-184214-464 | Turn the food processor bowl upright.
P01-20240203-184214-465 | Continue rinsing the food processor's bowl.
P01-20240203-184214-466 | Turn the food processor bowl upside down, rinsing it from the outside.
P01-20240203-184214-467 | pick up the sponge.
P01-20240203-184214-468 | lather the outside of the food processor bowl by scrubbing the bottom of the bowl using the sponge.
P01-20240203-184214-469 | Put down the sponge.
P01-20240203-184214-470 | Rinse the bottom of the food processor bowl by holding it upside down from its handle using the left hand and using the right hand to distribute water around the bottom of the food processor bowl.
P01-20240203-184214-471 | Turn the food processor bowl upright.
P01-20240203-184214-472 | Continue rinsing the inside of the food processor bowl.
P01-20240203-184214-473 | Turn the food processor bowl upside down to rinse its outside.
P01-20240203-184214-474 | Close the tap.
P01-20240203-184214-475 | Put the food processor bowl on the drainer.
P01-20240203-184214-476 | pick up the ladle from the sink.
P01-20240203-184214-477 | Pick up the sponge.
P01-20240203-184214-478 | lather the ladle using the sponge, from the outside, then from the inside, then from its handle.
P01-20240203-184214-479 | put down the sponge.
P01-20240203-184214-480 | Open the tap.
P01-20240203-184214-481 | Rinse the ladle by holding the ladle from the handle using the left hand and using the right hand to distribute water around.
P01-20240203-184214-482 | Close it up.
P01-20240203-184214-483 | Put the ladle on the drainer.
P01-20240203-184214-484 | Turn off the hob by turning the knob on the hob using the left hand wearing the glove clockwise until the burner is off. You can see the fire of the burner increasing and then switching off.
P01-20240203-184214-485 | Pick up the garlic presser from the sink using the right hand.
P01-20240203-184214-486 | Open the tap.
P01-20240203-184214-487 | pick up the brush that is hanging upside down from one of the hangers on top of the sink using the right hand.
P01-20240203-184214-488 | brush the garlic press, particularly pressing the brush into the openings of the garlic press to clean it.
P01-20240203-184214-489 | hang the brush again from its hook on top of the sink using the right hand.
P01-20240203-184214-490 | Continue rinsing the garlic press.
P01-20240203-184214-491 | Use the index finger which is inside the glove to empty some of the garlic that's inside the garlic presser
P01-20240203-184214-492 | Continue rinsing the garlic presser.
P01-20240203-184214-493 | Close the tap.
P01-20240203-184214-494 | pick up the peeler from the sink.
P01-20240203-184214-495 | Open the tap.
P01-20240203-184214-496 | rinse the peeler.
P01-20240203-184214-497 | pick up the sponge
P01-20240203-184214-498 | lather the blade of the peeler by pressing the sponge around it multiple times, avoiding injuring myself or tearing the sponge by just pressing around the blade.
P01-20240203-184214-499 | put down the sponge.
P01-20240203-184214-500 | rinse the peeler, focusing on its blade.
P01-20240203-184214-501 | pick up the sponge.
P01-20240203-184214-502 | lather the handle of the peeler
P01-20240203-184214-503 | put down the sponge.
P01-20240203-184214-504 | Rinse the peeler.
P01-20240203-184214-505 | Close the tap.
P01-20240203-184214-506 | Put the peeler on the drainer.
P01-20240203-184214-507 | pick up a spoon from the sink.
P01-20240203-184214-508 | Pick up another spoon from the sink.
P01-20240203-184214-509 | Open the tap.
P01-20240203-184214-510 | rinse the spoon
P01-20240203-184214-511 | Close the tap.
P01-20240203-184214-512 | pick up a knife from the sink using the right hand, already holding both spoons with the right hand.
P01-20240203-184214-513 | Open the dishwasher's door.
P01-20240203-184214-514 | open the top drawer which is the cutlery tray by pulling it out
P01-20240203-184214-515 | put the knife on the cutlery drawer of the dishwasher by slotting it in.
P01-20240203-184214-516 | Put the first knife on the cutlery drawer of the dishwasher by slotting it in.
P01-20240203-184214-517 | Put the second knife on the cutlery drawer of the dishwasher while slotting it in.
P01-20240203-184214-518 | Close the top drawer of the dishwasher by pushing it in.
P01-20240203-184214-519 | move the hand around the water which is inside the sink, pushing some of the things stuck inside the sink closer to the plug hole.
P01-20240203-184214-520 | Pick up a plate from the countertop next to the sink using the left hand.
P01-20240203-184214-521 | Open the tap.
P01-20240203-184214-522 | Rinse the plate using hot water.
P01-20240203-184214-523 | Close the tap.
P01-20240203-184214-524 | Push the top drawer of the dishwasher that's partially open back in to close it.
P01-20240203-184214-525 | slide the plate into the second drawer of the dishwasher using the right hand. This action is mostly off screen.
P01-20240203-184214-526 | pick up a lid from the countertop next to the sink.
P01-20240203-184214-527 | Put the lid in the lower shelf of the dishwasher using the right hand.
P01-20240203-184214-528 | Again move the water in the sink getting closer to the plug hole.
P01-20240203-184214-529 | pick up the sink plug strainer using the right hand.
P01-20240203-184214-530 | open the food waste bin using the right hand by opening its lid.
P01-20240203-184214-531 | tilt the plug strainer on top of the food waste bin so all the food trash falls into the bin.
P01-20240203-184214-532 | brush quickly the strainer using the right hand to drop anything stuck to it into the bin.
P01-20240203-184214-533 | Hit the strainer against the side of the bin to drop any of the trash in it in the bin.
P01-20240203-184214-534 | brush the strainer again.
P01-20240203-184214-535 | return the plug strainer placing it on top of the plug hole.
P01-20240203-184214-536 | Open the tap.
P01-20240203-184214-537 | release the nozzle of the tap from its holder.
P01-20240203-184214-538 | Move the nozzle of the tap around the sink to rinse the sink.
P01-20240203-184214-539 | return the tap nozzle to the holder, locking it in place.
P01-20240203-184214-540 | Close the tap.
P01-20240203-184214-541 | Pick up the plug strainer again.
P01-20240203-184214-542 | Hold the plug strainer using the left hand on top of the food trash bin and brush it with the right hand to drop any trash stuck to it into the bin.
P01-20240203-184214-543 | Close the trash bin by pulling its lid. This action is off screen.
P01-20240203-184214-544 | put the plug strainer on the plug hole in the sink.
P01-20240203-184214-545 | Remove the left glove by holding it with the right hand from the top and pulling it away.
P01-20240203-184214-546 | Remove the right glove.
P01-20240203-184214-547 | Place the two gloves on the rim of the sink.
P01-20240203-184214-548 | Pick up the plate with a knife on it from the countertop. Carefully move the plate as there is a knife resting on it.
P01-20240203-184214-549 | Put the plate with the knife on it on the countertop next to the sink to wash it.
P01-20240203-184214-550 | Pick up a knife from the chopping board on the countertop.
P01-20240203-184214-551 | pick up the chopping board containing garlic peel from the countertop using the left hand and supporting it with the right hand with the knife being held in the right hand.
P01-20240203-184214-552 | open the food trash bin using the right hand by pulling its lid up.
P01-20240203-184214-553 | Throw the garlic peel into the trash bin by positioning the chopping board on top of the food trash bin, tilting it and then using the knife in the right hand to slide the peel from the chopping board into the bin, repeating multiple times as the knife slides different parts of the chopping board.
P01-20240203-184214-554 | Close the food trash bin using the right hand by pulling its lid.
P01-20240203-184214-555 | Put the chopping board on top of the plate next to the sink with the left hand.
P01-20240203-184214-556 | Put the knife on the plate next to the sink.
P01-20240203-184214-557 | Pick up the empty Tupperware from the countertop using the right hand.
P01-20240203-184214-558 | Open the lower cupboard.
P01-20240203-184214-559 | Put the tupperware on the upper shelf of the cupboard, this action is mostly off screen.
P01-20240203-184214-560 | Close the cupboard
P01-20240203-184214-561 | Pick up the remaining part of the garlic pulp from the countertop.
P01-20240203-184214-562 | Put the garlic top on the shelf under the counter top. This action is mostly occluded.
P01-20240203-184214-563 | Pick up the oven glove from the counter top using the left hand.
P01-20240203-184214-564 | Hang the glove on the hook on top of the sink by holding the hanger of the glove and using the right hand and sliding it into the hook.
P01-20240203-184214-565 | Open the fridge.
P01-20240203-184214-566 | pick up the top of yogurt from the upper shelf of the fridge
P01-20240203-184214-567 | Close the fridge.
P01-20240203-184214-568 | put the yogurt tub on the countertop, moving the water jug a little to provide space.
P01-20240203-184214-569 | pick up the plastic spoon from the plate next to the hob.
P01-20240203-184214-570 | pick up the plate from the countertop next to the hob.
P01-20240203-184214-571 | put the plate inside the sink. The plate was used to support the cooking tools but it's now ready to be washed.
P01-20240203-184214-572 | Open the upper cupboard holding the plastic spoon with the same hand.
P01-20240203-184214-573 | pick up a plate from a pile of plates on the lower shelf of the cupboard, sliding the plate from the midst of the pile out using the right hand and tilting it so the plates on top will fall into place.
P01-20240203-184214-574 | Put the plate on the countertop next to the hob.
P01-20240203-184214-575 | Close the cupboard.
P01-20240203-184214-576 | pick up the lid from the pot on the hob, uncovering the pot.
P01-20240203-184214-577 | put the lid on the hob on another burner. You can see the steam coming off the hot rice.
P01-20240203-184214-578 | pick up the pot from the hob using its handle, holding it with the left hand. The pot has rice. Picking up the pot so that to serve the rice.
P01-20240203-184214-579 | Tilt the pot on top of the plate on the countertop.
P01-20240203-184214-580 | Using the plastic spoon, gather the rice, might be stuck to the bottom of the pot, sliding the spoon around the bottom of the pot to move the rice to the edge.
P01-20240203-184214-581 | Pour the rice from the pot onto the plate by tilting the pot further and using the plastic spoon in the right hand to slide the rice onto the plate. The pot is being held with the left hand from its handle. The right hand is holding the plastic spoon. The pot is positioned on top of the plate and using the spoon, the rice is sliding onto the plate.
P01-20240203-184214-582 | hit the spoon against the surface of the plate to drop any rice that stuck to it onto the plate.
P01-20240203-184214-583 | Place the plastic spoon inside the pot that has now been emptied.
P01-20240203-184214-584 | Put the pot with the spoon inside the sink.
P01-20240203-184214-585 | Open the tap from right handle to soak the already hot pot and the plastic spoon with water to make washing it later easier.
P01-20240203-184214-586 | Pick up the lid from the hob.
P01-20240203-184214-587 | Put the lid in the sink, tilting it against the pot.
P01-20240203-184214-588 | Pick up the strainer from the counter top. This action is mostly off screen.
P01-20240203-184214-589 | Put the strainer in the sink on top of the pot.
P01-20240203-184214-590 | Close the tap. The pot has now sufficiently been soaked with water.
P01-20240203-184214-591 | Open the top drawer.
P01-20240203-184214-592 | Pick up a fork from the cutlery tray in the drawer.
P01-20240203-184214-593 | Place the fork on the plate with the rice. This fork will be used to eat the rice.
P01-20240203-184214-594 | open the first drawer a little bit further, it's already partially opened.
P01-20240203-184214-595 | Pick up a spoon from the cutlery tray in the drawer.
P01-20240203-184214-596 | close the drawer by pushing it using the torso.
P01-20240203-184214-597 | Lift the lid off the yogurt tub by holding the edge of the cover with the left hand and lifting it up, holding it with the left hand to keep it open.
P01-20240203-184214-598 | Scoop one spoon of yogurt from the tub using the spoon with the right hand. The left hand is holding the cover of the tub, right hand is holding the spoon.
P01-20240203-184214-599 | Pour the yogurt onto the plate next to the rice, positioning the spoon on top of the empty part of the plate, tilting it so the yogurt falls into the plate.
P01-20240203-184214-600 | Scoop another spoon of yogurt from the yogurt tub.
P01-20240203-184214-601 | release the cover of the yogurt top that's being held with the left hand, so it actually covers the top again, closing it.
P01-20240203-184214-602 | Pour the yogurt onto the plate next to the previously poured yogurt and shake the spoon to drop any of the yogurt stuck to it.
P01-20240203-184214-603 | Put the spoon inside the mouth, effectively licking the remaining yogurt on the spoon.
P01-20240203-184214-604 | Put the spoon in the sink on top of the strainer to clean it.
P01-20240203-184214-605 | Pick up the yogurt top from the counter top.
P01-20240203-184214-606 | Open the fridge.
P01-20240203-184214-607 | Put the yogurt top on the upper shelf of the fridge using the left hand.
P01-20240203-184214-608 | Close the fridge.
