# Video: P04-20240414-072251
# Narrations: 426
# Format: narration_id | timestamp | narration
#===========================================================

P04-20240414-072251-1 | 5.35s | With the left hand, pick up the pan that is on the electric hob.
P04-20240414-072251-294 | 921.89s | Shake the coffee mug with the left hand over the kitchen sink to get rid of the excess water that might be on it.
P04-20240414-072251-295 | 923.64s | Using the orange towel in the right hand, dry the coffee mug held by the left hand.
P04-20240414-072251-296 | 934.23s | Place the coffee mug on the wooden chopping board below with the left hand after it has been dried.
P04-20240414-072251-297 | 936.24s | Pick up the plastic measuring cup from the counter top with the left hand.
P04-20240414-072251-298 | 937.33s | Shake the measuring cup over the kitchen sink with the left hand to get rid of the excess water that might still be on it.
P04-20240414-072251-299 | 938.75s | Use the towel in the right hand to dry the cup in the left hand.
P04-20240414-072251-300 | 942.09s | Place the cup on the wooden chopping board with the left hand after it has been dried.
P04-20240414-072251-301 | 945.69s | With the left hand, pick up the plastic container box from the drying mat at the corner of the countertop.
P04-20240414-072251-302 | 947.84s | Shake the plastic container over the kitchen sink to get rid of the excess water on it.
P04-20240414-072251-303 | 948.66s | Use the towel in the right hand to wipe the plastic container in the left hand and to dry it.
P04-20240414-072251-304 | 965.58s | Place the plastic container in the left hand on top of the electric hob after it has been dried.
P04-20240414-072251-305 | 966.23s | As it might not be a good idea to place the plastic box on the hot surface of the electric hob, place the container on the countertop with the left hand side.
P04-20240414-072251-306 | 968.00s | With the left hand, pick up another plastic container box from the countertop.
P04-20240414-072251-307 | 969.73s | Shake the container box over the kitchen sink to remove the excess water that might still be on it.
P04-20240414-072251-308 | 970.21s | Use the orange coloured towel in the right hand to wipe and dry the plastic container box held in the left hand.
P04-20240414-072251-309 | 984.43s | With both hands, put down the plastic container box over the other plastic container box on the countertop stacking them two together.
P04-20240414-072251-310 | 986.65s | With the left hand, pick up the lid of the plastic container from the drying mat at the corner of the countertop.
P04-20240414-072251-311 | 987.31s | Shake the plastic container lid over the kitchen sink with the left hand to get rid of the excess water that might still be on it.
P04-20240414-072251-312 | 988.10s | Use the orange coloured kitchen towel in the right hand to dry the lid held in the left hand.
P04-20240414-072251-313 | 996.30s | Place the lid over the plastic container boxes on the countertop with both hands carefully.
P04-20240414-072251-314 | 997.65s | Pick up the container boxes as well as the lid with both hands.
P04-20240414-072251-315 | 998.74s | Place the boxes and the lid on the wooden chopping board with the left hand side.
P04-20240414-072251-316 | 1002.16s | With the left hand, pick up the pan that is on the countertop next to the kitchen sink.
P04-20240414-072251-317 | 1003.18s | Shake the pan once over the kitchen sink in order to get rid of the excess water that might still be on it.
P04-20240414-072251-318 | 1003.68s | Use the orange coloured kitchen towel in the right hand to wipe and dry the pan held in the left hand.
P04-20240414-072251-319 | 1012.51s | Move over to the other side of the kitchen and place the pan on the other wooden chopping board with the right hand.
P04-20240414-072251-320 | 1020.47s | Put down the orange coloured kitchen towel on the countertop with the right hand after it has been used to dry all of the utensils and plates.
P04-20240414-072251-321 | 1021.21s | With the left hand, open the drawer below revealing the utensils.
P04-20240414-072251-322 | 1022.12s | With the right hand, pick up the rubber spatula and the whisk together from the countertop.
P04-20240414-072251-323 | 1022.83s | With the right hand, place the whisk and the rubber spatula in the drawer opened by the left hand.
P04-20240414-072251-324 | 1024.89s | With the right hand, pick up the plastic measuring cup from the wooden chopping board.
P04-20240414-072251-325 | 1025.36s | With the right hand, place the measuring cup in the drawer below.
P04-20240414-072251-326 | 1026.59s | Close the drawer with the left hand after putting all of the utensils in it.
P04-20240414-072251-327 | 1031.03s | With the right hand, open the door to the above cabinet revealing the coffee mugs and other glassware.
P04-20240414-072251-328 | 1032.14s | Pick up the mug with the left hand and transfer it to the right hand.
P04-20240414-072251-329 | 1033.29s | Place the mug in the right hand on the lower shelf of the upper cabinet in an upside down fashion.
P04-20240414-072251-330 | 1035.98s | Close the door to the upper cabinet with the right hand.
P04-20240414-072251-331 | 1038.94s | With the right hand, pick up the knife from the countertop.
P04-20240414-072251-332 | 1040.21s | With the left hand, pick up the stack of spoons from the countertop.
P04-20240414-072251-333 | 1040.78s | Transfer the knife from the right hand to the left hand which is already holding a stack of spoons.
P04-20240414-072251-334 | 1042.82s | With the right hand, open the door to the cabinet below revealing the condiment jars and other ingredients.
P04-20240414-072251-335 | 1044.75s | With the right hand, pull out the cutlery drawer from the cabinet.
P04-20240414-072251-336 | 1047.38s | With the right hand, place the knife in the slot for knives in the cutlery drawer.
P04-20240414-072251-337 | 1048.94s | With the right hand, pick up the tablespoon from the left hand.
P04-20240414-072251-338 | 1050.60s | Place the tablespoon in the right hand in the slot meant for tablespoons in the cutlery drawer.
P04-20240414-072251-341 | 1052.00s | Push in the cutlery drawer with the right hand.
P04-20240414-072251-339 | 1052.61s | With the right hand, take the teaspoon from the left hand.
P04-20240414-072251-340 | 1054.02s | Place the teaspoon in the cutlery drawer in the slot meant for teaspoons to be kept.
P04-20240414-072251-342 | 1055.46s | Close the door to the cabinet below with the left hand.
P04-20240414-072251-343 | 1059.69s | With the left hand, pick up the kitchen towel from the countertop.
P04-20240414-072251-344 | 1060.32s | Transfer the kitchen towel from the left hand to the right hand.
P04-20240414-072251-345 | 1060.89s | With the left hand, pick up the bowl from the drying mat at the corner of the countertop.
P04-20240414-072251-346 | 1064.24s | Dry the bowl with the kitchen towel held in the right hand.
P04-20240414-072251-347 | 1074.22s | Put down the kitchen towel on the wooden chopping board below with the right hand.
P04-20240414-072251-348 | 1074.69s | Transfer the bowl from the left hand to the right hand.
P04-20240414-072251-349 | 1075.39s | With the left hand, open the door to the cabinet above revealing the bowls and other crockery.
P04-20240414-072251-350 | 1077.24s | With both hands, carefully place the white bowl on another bowl on the lower shelf of the cabinet above.
P04-20240414-072251-351 | 1081.13s | With the right hand, open the right door to the cabinet while closing the left door with the left hand.
P04-20240414-072251-352 | 1083.35s | Pick up the large white plate from the drying rack next to the kitchen sink with the right hand.
P04-20240414-072251-353 | 1085.57s | Transfer the plate from the right hand to the left hand.
P04-20240414-072251-354 | 1086.33s | Pick up the kitchen towel from the wooden chopping board with the right hand.
P04-20240414-072251-355 | 1087.01s | Wipe the plate with the kitchen towel in order to dry it.
P04-20240414-072251-356 | 1098.08s | Put down the kitchen towel with the right hand.
P04-20240414-072251-357 | 1098.83s | With both hands, carefully place the large plate over the stack of other plates on the lower shelf of the upper cabinet.
P04-20240414-072251-358 | 1104.66s | With the right hand, close the door to the cabinet above.
P04-20240414-072251-359 | 1107.68s | With the right hand, open the door to the cabinet above again.
P04-20240414-072251-360 | 1109.27s | With the left hand, pick up the large bowl from the wooden chopping board.
P04-20240414-072251-361 | 1110.07s | Use the towel in the right hand to clean the large bowl.
P04-20240414-072251-362 | 1113.80s | Put down the kitchen towel back on the wooden chopping board with the right hand. This action happens partially off camera.
P04-20240414-072251-363 | 1114.50s | With the right hand, reach and pick up the brain shaped plastic bowl from the second shelf of the upper cabinet.
P04-20240414-072251-364 | 1116.81s | Place the brain shaped bowl in the large mixing bowl held by the left hand.
P04-20240414-072251-365 | 1118.75s | With both hands, carefully place the large bowl over the stack of other bowls on the middle shelf of the upper cabinet.
P04-20240414-072251-366 | 1127.58s | With the right hand, close the door to the cabinet above.
P04-20240414-072251-367 | 1130.33s | Pick up the kitchen towel from the wooden chopping board with the left hand.
P04-20240414-072251-368 | 1130.51s | Transfer the towel from the left hand to the right hand.
P04-20240414-072251-369 | 1131.32s | Put down the towel in the right hand back on the wooden chopping board below.
P04-20240414-072251-370 | 1132.08s | With both hands, pick up the stack of plastic containers as well as the lid on top of it.
P04-20240414-072251-371 | 1133.94s | With the left hand, open the door to the cabinet below.
P04-20240414-072251-372 | 1134.98s | With the left hand, pull out the other stack of plastic containers in the upper shelf of the cabinet below.
P04-20240414-072251-373 | 1139.22s | Place the stack of plastic containers in the right hand on the wooden chopping board.
P04-20240414-072251-374 | 1139.59s | Place the stack of lids in the left hand on the wooden chopping board.
P04-20240414-072251-375 | 1140.57s | With the right hand, place the lid on the stack of lids on the wooden chopping board.
P04-20240414-072251-376 | 1143.75s | With the right hand, pick up the plastic container boxes from the wooden chopping board.
P04-20240414-072251-377 | 1144.98s | Stack the container boxes together with both hands.
P04-20240414-072251-378 | 1146.38s | Pick up the boxes as well as the lids from the wooden chopping board with both hands.
P04-20240414-072251-379 | 1147.13s | Push the container boxes in towards the upper shelf of the cabinet below in order to store them there.
P04-20240414-072251-380 | 1150.26s | Close the door to the cabinet below with the left hand.
P04-20240414-072251-381 | 1157.53s | With the right hand, grab the coffee mug which has hot water in it from the dish tray of the water cooler.
P04-20240414-072251-382 | 1158.94s | Transfer the coffee mug with water in it from the right hand to the left hand.
P04-20240414-072251-383 | 1161.38s | Place the mug on the countertop next to the plate of scrambled eggs with the left hand.
P04-20240414-072251-384 | 1163.89s | Pick up the kitchen towel that is on the wooden chopping board with the right hand.
P04-20240414-072251-385 | 1165.45s | Neatly fold the orange coloured kitchen towel with both hands.
P04-20240414-072251-386 | 1168.03s | Place the orange coloured kitchen towel on the wooden chopping board with the left hand after it has been neatly folded.
P04-20240414-072251-387 | 1173.29s | With the right hand, pick up the blue coloured kitchen towel that is next to the water cooler.
P04-20240414-072251-388 | 1173.36s | Wipe the surface around the kitchen sink with the blue coloured kitchen towel in the right hand.
P04-20240414-072251-389 | 1198.10s | With the left hand, pick up the cleaning spray from the windowsill.
P04-20240414-072251-390 | 1199.71s | Spray the cleaning solution on the countertop with the bottle held in the left hand.
P04-20240414-072251-391 | 1202.27s | Use the towel held by the right hand to wipe the countertop clean.
P04-20240414-072251-392 | 1206.91s | Spray some more cleaning spray on the counter top with the bottle held in the left hand.
P04-20240414-072251-393 | 1208.19s | Wipe the surface with the blue towel held by the right hand.
P04-20240414-072251-394 | 1211.36s | Spray the solution on the control buttons of the electric hob.
P04-20240414-072251-395 | 1212.70s | Wipe the control buttons of the electric hob with the towel held in the right hand.
P04-20240414-072251-396 | 1217.15s | Place the towel back on the counter top next to the kitchen sink with the right hand.
P04-20240414-072251-397 | 1218.45s | Transfer the spray bottle from the left hand to the right hand.
P04-20240414-072251-398 | 1219.58s | Place the spray bottle on the windowsill with the right hand.
P04-20240414-072251-399 | 1220.65s | With the right hand, turn on the tap.
P04-20240414-072251-400 | 1222.30s | Wash the right hand under the running tap water.
P04-20240414-072251-401 | 1224.33s | Close the tap with the left hand.
P04-20240414-072251-402 | 1225.72s | Shake the right hand over the kitchen sink to get rid of the excess water. This action happens partially off camera.
P04-20240414-072251-403 | 1226.42s | Pick up the towel hanging by the handle of the drawer below with the left hand.
P04-20240414-072251-404 | 1228.07s | Wipe the right hand with the towel in order to dry it.
P04-20240414-072251-405 | 1234.62s | Pick up the white coloured plastic chopping board that was resting against the wall behind the kitchen sink with the left hand.
P04-20240414-072251-406 | 1235.95s | Shake the chopping board over the kitchen sink with the left hand to get rid of the excess water that might still be on it.
P04-20240414-072251-407 | 1239.30s | Pick up the orange coloured kitchen towel from the wooden chopping board with the right hand.
P04-20240414-072251-408 | 1240.06s | Wipe the surface of the chopping board with the towel in the right hand.
P04-20240414-072251-409 | 1245.42s | Put down the towel back on the wooden chopping board with the right hand after using it for drying the chopping board.
P04-20240414-072251-410 | 1246.09s | With the left hand, open the drawer.
P04-20240414-072251-411 | 1248.40s | Place the chopping board in the right hand at the back of the drawer next to the other chopping boards.
P04-20240414-072251-412 | 1249.87s | Close the drawer with the left hand.
P04-20240414-072251-413 | 1250.74s | Pick up the kitchen towel from the wooden chopping board below with the right hand.
P04-20240414-072251-414 | 1251.61s | Put the kitchen towel back on the countertop with the right hand.
P04-20240414-072251-415 | 1252.68s | Pick up the cooling rack that was resting against the wall with the left hand.
P04-20240414-072251-416 | 1254.61s | Hold the cooling rack with both hands and place it neatly on the wooden chopping board.
P04-20240414-072251-417 | 1261.25s | With the right hand, grab and pull the plate containing the scrambled eggs.
P04-20240414-072251-418 | 1262.18s | With the left hand, grab and reposition the bowl containing the granola mix.
P04-20240414-072251-419 | 1263.30s | With the right hand, grab and reposition the hot cup of water on the countertop next to the other dishes.
P04-20240414-072251-421 | 1266.25s | Transfer the pen from the left hand to the right hand.
P04-20240414-072251-420 | 1266.30s | Pick up the pen with the left hand.
P04-20240414-072251-422 | 1267.10s | Place the pen in the right hand in the basket containing the kitchen towels.
P04-20240414-072251-423 | 1268.26s | Grab the kitchen towel with the left hand and place it in the basket with the right hand.
P04-20240414-072251-424 | 1269.58s | Pick up the book with both hands.
P04-20240414-072251-425 | 1272.70s | Close the notebook while holding it with both hands.
P04-20240414-072251-426 | 1273.88s | Place the notebook on the wooden chopping board with the right hand.
