# Video: P03-20240218-202148
# Narrations: 344
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240218-202148-1 | 0.00s | With my right hand, pick up a plastic lid from the table.
P03-20240218-202148-254 | 606.38s | Clean the kitchen door where I sprayed cleaning product earlier, wiping it with a wet orange cloth that I'm holding in my right hand.
P03-20240218-202148-255 | 625.14s | Clean the tiles above the hob, wiping them with the orange cloth I'm holding in my right hand.
P03-20240218-202148-256 | 633.49s | With my left hand, push the small cup containing the garlic cloves from left to right so that it is out of the way as I clean the kitchen top around the hob.
P03-20240218-202148-257 | 634.41s | With my right hand, wipe the kitchen top around the hob, rubbing it with the orange cloth.
P03-20240218-202148-258 | 637.52s | Clean now the hob where I sprayed the cleaning product earlier, wiping it with the orange cloth I'm holding in my right hand.
P03-20240218-202148-259 | 647.37s | Continue wiping the kitchen top with the orange cloth that I am holding in my right hand, moving from the hob towards the sink above the washing machine.
P03-20240218-202148-260 | 648.74s | Clean the part of the sink under the drying rack, wiping it with the orange cloth I'm holding in my right hand.
P03-20240218-202148-261 | 652.89s | Wipe the kitchen top around the sink using the orange cloth I'm holding in my right hand.
P03-20240218-202148-262 | 654.03s | With my right hand, turn on the tap.
P03-20240218-202148-263 | 656.49s | Rinse the orange cloth under the running tap water, squeezing it multiple times as I rinse it to remove the dirt from the cloth. I alternate between my right and left hands to squeeze the cloth while I rinse it.
P03-20240218-202148-264 | 665.38s | With my left hand, turn off the tap.
P03-20240218-202148-265 | 666.09s | With my right hand, squeeze the orange cloth one more time above the sink to remove more water from the cloth.
P03-20240218-202148-266 | 667.67s | Shake my hands above the sink to remove the water both from my hands and the cloth which I'm holding in my right hand.
P03-20240218-202148-267 | 671.47s | Wipe the hob again with the orange cloth I'm holding in my right hand. I wipe the hob for a second time to rinse the cleaning product off and to avoid streaks on the hob.
P03-20240218-202148-268 | 675.30s | Flip the orange cloth with my right hand so that I can continue wiping the hob with the clean side of the cloth.
P03-20240218-202148-269 | 676.16s | Continue wiping the hob with the cloth I'm holding in my right hand to rinse the cleaning product off of the hob and to avoid streaks on the hob.
P03-20240218-202148-270 | 677.70s | Wipe the kitchen top next to the hob with the orange cloth. I wipe the kitchen top for a second time to rinse the cleaning product off of the kitchen top.
P03-20240218-202148-271 | 680.72s | Flip the orange cloth so that I can continue wiping the kitchen top with the other side of the cloth.
P03-20240218-202148-272 | 681.54s | Briefly wipe the edge of the hob with the orange cloth I'm holding in my right hand, then stopping as I will use a different technique to remove the crumbs and food residue from the edge of the hob.
P03-20240218-202148-273 | 683.01s | Flip the orange cloth and put it flat on the kitchen top next to the hob as I prepare to wipe the edge of the hob with the cloth.
P03-20240218-202148-274 | 683.47s | Wipe the bottom edge of the hob, sliding the orange cloth below the edge of the hob to add the crumbs and other food residue that accumulates under the edge. I wipe the edge using both hands to make sure that the cloth stays flat and doesn't fold as I move it from right to left along the kitchen top.
P03-20240218-202148-275 | 685.94s | Wipe now the kitchen top next to the hob using the orange cloth I'm holding in my right hand. I wipe the kitchen top for a second time to rinse the cleaning product off of the kitchen top.
P03-20240218-202148-276 | 687.58s | Wipe now the kitchen top around the sink using the orange cloth I'm holding in my right hand. I wipe the kitchen top for a second time to rinse cleaning product off of the kitchen top surface.
P03-20240218-202148-277 | 690.42s | Wipe the tiles near the window behind the sink using the orange cloth that I'm holding with my right hand.
P03-20240218-202148-278 | 692.21s | With my left hand, pick up the hand wash from the kitchen top next to the sink so that it is out of the way as I continue cleaning the kitchen top around the sink.
P03-20240218-202148-281 | 692.47s | With my left hand, lift the soap bar tray from the kitchen top next to the sink so that it is out of the way as I continue wiping the kitchen top next to the sink.
P03-20240218-202148-279 | 692.77s | With my left hand, put the hand wash bottle on the window sill next to the washing up liquid bottle.
P03-20240218-202148-282 | 692.87s | With my left hand, put down the soap bar tray next to the microwave oven on the kitchen top next to the sink.
P03-20240218-202148-280 | 693.43s | Wipe now the kitchen top around the sink using the orange cloth I'm holding in my right hand.
P03-20240218-202148-283 | 694.51s | Wipe the tiles near the window behind the sink using the orange cloth I'm holding with my right hand.
P03-20240218-202148-284 | 696.21s | Wipe the edge of the sink with the orange cloth I'm holding in my right hand.
P03-20240218-202148-285 | 699.47s | Wipe the bottom of the sink with the orange cloth that I'm holding in my right hand, gathering food residue with the cloth and pushing the residue towards the sink strainer.
P03-20240218-202148-286 | 711.01s | With my left hand, turn on the tap.
P03-20240218-202148-287 | 711.93s | Rinse the orange cloth under the running tap water, rubbing the cloth with my hands to remove the dirt from the cloth.
P03-20240218-202148-288 | 722.51s | Wipe the top right corner of the sink with the back of my right hand.
P03-20240218-202148-289 | 723.85s | Wipe the top right corner of the sink with the orange cloth that I'm holding in my right hand.
P03-20240218-202148-291 | 726.82s | Use my right hand palm to redirect the tap water between the slots of the drying rack attached inside the sink.
P03-20240218-202148-290 | 727.04s | Turn the tap clockwise with my left hand to pour water at the top of the sink.
P03-20240218-202148-292 | 728.00s | Turn the tap anti-clockwise with my left hand so that the tap is above the sink strainer.
P03-20240218-202148-293 | 729.21s | With my right hand, pick up the orange cloth from the sink.
P03-20240218-202148-294 | 729.95s | Hold my right hand in a cup position and move my right hand to redirect the running tap water towards the small rack attached inside the sink.
P03-20240218-202148-295 | 732.69s | With my left hand, pick up the sponge from the small rack attached inside the sink.
P03-20240218-202148-296 | 733.66s | With my left hand, turn the tap clockwise so that the running tap water falls on the small rack attached inside the sink.
P03-20240218-202148-297 | 734.80s | Rinse the small rack attached inside the sink using the running tap water, moving my right hand back and forth above the rack to distribute the water through the slots of the rack.
P03-20240218-202148-298 | 738.65s | Squeeze the orange cloth I'm holding in my right hand to pour more water through the slots of the small rack attached inside the sink which I'm washing with the running tap water.
P03-20240218-202148-299 | 740.71s | Wash the sink using the running water, wiping the sink with the orange cloth that I'm holding in my right hand to move water around the sink.
P03-20240218-202148-300 | 743.15s | With my left hand, put the sponge in the now washed  small rack attached inside the sink.
P03-20240218-202148-301 | 746.31s | With my right hand, turn the tap anti-clockwise so that the tap is positioned above the sink strainer.
P03-20240218-202148-302 | 747.35s | Quickly wash the bottom right corner of the sink, using the orange cloth to move the running tap water around the bottom right corner of the sink.
P03-20240218-202148-303 | 748.76s | Rinse the orange cloth under the running water, squeezing it multiple times as I rinse it to remove the dirt from the cloth. I alternate between my right and my left hands to squeeze the cloth.
P03-20240218-202148-304 | 753.16s | With my left hand, turn off the tap.
P03-20240218-202148-305 | 754.17s | With my right hand, squeeze the orange cloth one more time above the sink to remove more water from the cloth.
P03-20240218-202148-306 | 756.89s | With my right hand, shake the cloth above the sink to remove more water from the cloth.
P03-20240218-202148-307 | 757.40s | Unfold the cloth above the sink using both hands.
P03-20240218-202148-308 | 758.25s | Hang the orange cloth on the tap above the sink to air dry the cloth.
P03-20240218-202148-309 | 758.88s | Shake my hands above the sink to remove the water from my hands.
P03-20240218-202148-311 | 759.00s | Shake my left hand above the sink to remove more water from my hand.
P03-20240218-202148-310 | 759.79s | With my left hand, pick up the strainer from the sink.
P03-20240218-202148-312 | 762.20s | With my left hand, pull the cupboard under the sink to open it.
P03-20240218-202148-313 | 764.55s | With my left hand, open the food waste bin located on the top shelf of the cupboard under the sink by lifting the bin lid.
P03-20240218-202148-314 | 766.15s | Throw the food residue that accumulated on the sink strainer into the food waste bin, tapping the strainer multiple times against the food waste bin to shake the food residue off.
P03-20240218-202148-315 | 767.05s | With my left hand, close the food waste bin by letting go of its lid.
P03-20240218-202148-316 | 769.80s | With my left hand, close the cupboard under the sink.
P03-20240218-202148-317 | 770.90s | With my right hand, place the strainer back into the sink.
P03-20240218-202148-318 | 773.24s | Dry my hands, rubbing them against the cloth hanging from the cupboard under the sink without unhooking the cloth.
P03-20240218-202148-319 | 775.59s | With my right hand, open the washing machine door so that the washing machine drum and seal dry and don't get mouldy.
P03-20240218-202148-320 | 779.69s | Pick up the food container lid from the left hand side of the table.
P03-20240218-202148-321 | 782.00s | Close the food container, pressing down the lid on the container. I also lift a rubber tab at the top of the lid to let air out of the container. Then pushing down the rubber tab back to the lid to create a vacuum in the food container, which will fully seal the container and will prevent it from opening.
P03-20240218-202148-322 | 791.90s | Pick up the closed food container from the table using both hands.
P03-20240218-202148-323 | 793.13s | Press the lid on the food container using both hands to check that the food container is well closed.
P03-20240218-202148-324 | 793.79s | The food container is not well closed so I put it down on the table again as I prepare to tighten the lid on the food container to make sure that it is closed properly.
P03-20240218-202148-325 | 796.77s | Tighten the lid to make sure that the food container is well closed. I press down on the lid with both hands then lift the rubber tab at the top of the lid to let more air out of the food container. Then pressing down on the rubber tab to create a vacuum in the food container and make sure that the food container is sealed.
P03-20240218-202148-326 | 800.97s | Pick up the food container from the table using both hands.
P03-20240218-202148-327 | 801.61s | With my right hand, pull the fridge top door to open the fridge.
P03-20240218-202148-328 | 802.13s | With my left hand, place the food container in the middle shelf of the fridge next to the bowl containing the grapes.
P03-20240218-202148-329 | 804.06s | With my right hand, close the fridge.
P03-20240218-202148-330 | 804.72s | With my right hand, pick up the red glass from the left hand side of the table. I pick the glass up so that it's no longer standing on the tea towel, which I'm about to pick up from the table.
P03-20240218-202148-331 | 806.50s | With my right hand, put the red glass down at the top of the table next to the green glass.
P03-20240218-202148-332 | 807.74s | Fold the tea towel on the right hand side of the table using both hands.
P03-20240218-202148-333 | 810.39s | Pick up the folded tea towel from the table with both hands.
P03-20240218-202148-334 | 814.00s | Unfold and shake the tea towel above the sink to drop breadcrumbs and other food residue from the tea towel into the sink.
P03-20240218-202148-335 | 815.73s | Fold the tea towel midair using both hands.
P03-20240218-202148-336 | 822.78s | With my right hand, pull the bottom cupboard to open it.
P03-20240218-202148-337 | 823.88s | Place the folded tea towel on the top shelf of the bottom cupboard with my left hand.
P03-20240218-202148-338 | 827.34s | Fold the remaining tea towel on the left hand side of the table using both hands.
P03-20240218-202148-339 | 828.32s | Pick up the folded tea towel from the table using both hands.
P03-20240218-202148-340 | 831.11s | Unfold and shake the tea towel above the sink to drop breadcrumbs and other food residue from the tea towel into the sink.
P03-20240218-202148-341 | 833.98s | Fold the tea towel midair using both hands.
P03-20240218-202148-342 | 840.25s | With my left hand, put the folded tea towel on the top shelf of the bottom cupboard.
P03-20240218-202148-343 | 842.19s | With my right hand, close the bottom cupboard.
P03-20240218-202148-344 | 843.21s | With my right hand, turn off the light above the hob, flicking the switch in the extractor hood.
